mu_0,a,s,mu_next,valuation,payoff
0.0,0.0,0,0.05,76.9056425281533,76.9056425281533
0.0,0.0625,0,0.1214453125,76.9056425281533,76.90533002815329
0.0,0.125,0,0.19203125,76.9056425281533,76.9043925281533
0.0,0.1875,0,0.2617578125,78.29847416935364,78.29566166935363
0.0,0.25,0,0.33062499999999995,78.29847416935364,78.29347416935364
0.0,0.3125,0,0.3986328125,78.29847416935364,78.29066166935364
0.0,0.375,0,0.46578125,83.55779375210716,83.54654375210716
0.0,0.4375,0,0.5320703125,83.40523517966759,83.38992267966759
0.0,0.5,0,0.5975,84.54792497818313,84.52792497818314
0.0,0.5625,0,0.6620703125,84.67788444485998,84.65257194485999
0.0,0.625,0,0.72578125,84.67788444485998,84.64663444485998
0.0,0.6875,0,0.7886328125,84.67788444485998,84.64007194485998
0.0,0.75,0,0.850625,84.67788444485998,84.63288444485998
0.0,0.8125,0,0.9117578125,84.67788444485998,84.62507194485998
0.0,0.875,0,0.9720312499999999,84.67788444485998,84.61663444485998
0.0,0.9375,0,1.0,84.67788444485998,84.60757194485998
0.0,1.0,0,1.0,84.67788444485998,84.59788444485999
0.0,1.0625,0,1.0,84.67788444485998,84.58757194485999
0.0,1.125,0,1.0,84.67788444485998,84.57663444485999
0.0,1.1875,0,1.0,84.67788444485998,84.56507194485998
0.0,1.25,0,1.0,84.67788444485998,84.55288444485998
0.0,1.3125,0,1.0,84.67788444485998,84.54007194485999
0.0,1.375,0,1.0,84.67788444485998,84.52663444485998
0.0,1.4375,0,1.0,84.67788444485998,84.51257194485999
0.0,1.5,0,1.0,84.67788444485998,84.49788444485998
0.0,1.5625,0,1.0,84.67788444485998,84.48257194485998
0.0,1.625,0,1.0,84.67788444485998,84.46663444485998
0.0,1.6875,0,1.0,84.67788444485998,84.45007194485999
0.0,1.75,0,1.0,84.67788444485998,84.43288444485998
0.0,1.8125,0,1.0,84.67788444485998,84.41507194485999
0.0,1.875,0,1.0,84.67788444485998,84.39663444485998
0.0,1.9375,0,1.0,84.67788444485998,84.37757194485998
0.0,2.0,0,1.0,84.67788444485998,84.35788444485999
0.0,2.0625,0,1.0,84.67788444485998,84.33757194485999
0.0,2.125,0,1.0,84.67788444485998,84.31663444485999
0.0,2.1875,0,1.0,84.67788444485998,84.29507194485998
0.0,2.25,0,1.0,84.67788444485998,84.27288444485998
0.0,2.3125,0,1.0,84.67788444485998,84.25007194485998
0.0,2.375,0,1.0,84.67788444485998,84.22663444485998
0.0,2.4375,0,1.0,84.67788444485998,84.20257194485998
0.0,2.5,0,1.0,84.67788444485998,84.17788444485998
0.0,0.0,1,0.0,76.9056425281533,76.8056425281533
0.0,0.0625,1,0.0,76.9056425281533,76.80533002815329
0.0,0.125,1,0.0,76.9056425281533,76.8043925281533
0.0,0.1875,1,0.0,76.9056425281533,76.8028300281533
0.0,0.25,1,0.0,76.9056425281533,76.8006425281533
0.0,0.3125,1,0.0,76.9056425281533,76.7978300281533
0.0,0.375,1,0.04578124999999997,76.9056425281533,76.7943925281533
0.0,0.4375,1,0.11207031249999999,76.9056425281533,76.7903300281533
0.0,0.5,1,0.17750000000000002,76.9056425281533,76.7856425281533
0.0,0.5625,1,0.24207031250000005,78.29847416935364,78.17316166935365
0.0,0.625,1,0.30578125000000006,78.29847416935364,78.16722416935364
0.0,0.6875,1,0.36863281249999996,78.29847416935364,78.16066166935364
0.0,0.75,1,0.430625,78.29847416935364,78.15347416935364
0.0,0.8125,1,0.49175781250000006,83.40523517966759,83.25242267966759
0.0,0.875,1,0.55203125,83.40523517966759,83.24398517966759
0.0,0.9375,1,0.6114453125000001,84.54792497818313,84.37761247818314
0.0,1.0,1,0.67,84.67788444485998,84.49788444485999
0.0,1.0625,1,0.7276953125,84.67788444485998,84.48757194486
0.0,1.125,1,0.7845312500000001,84.67788444485998,84.47663444486
0.0,1.1875,1,0.8405078125,84.67788444485998,84.46507194485999
0.0,1.25,1,0.8956250000000001,84.67788444485998,84.45288444485999
0.0,1.3125,1,0.9498828125000001,84.67788444485998,84.44007194486
0.0,1.375,1,1.0,84.67788444485998,84.42663444485999
0.0,1.4375,1,1.0,84.67788444485998,84.41257194485999
0.0,1.5,1,1.0,84.67788444485998,84.39788444485998
0.0,1.5625,1,1.0,84.67788444485998,84.38257194485999
0.0,1.625,1,1.0,84.67788444485998,84.36663444485998
0.0,1.6875,1,1.0,84.67788444485998,84.35007194485999
0.0,1.75,1,1.0,84.67788444485998,84.33288444485999
0.0,1.8125,1,1.0,84.67788444485998,84.31507194486
0.0,1.875,1,1.0,84.67788444485998,84.29663444485999
0.0,1.9375,1,1.0,84.67788444485998,84.27757194485999
0.0,2.0,1,1.0,84.67788444485998,84.25788444486
0.0,2.0625,1,1.0,84.67788444485998,84.23757194486
0.0,2.125,1,1.0,84.67788444485998,84.21663444485999
0.0,2.1875,1,1.0,84.67788444485998,84.19507194485999
0.0,2.25,1,1.0,84.67788444485998,84.17288444485999
0.0,2.3125,1,1.0,84.67788444485998,84.15007194485999
0.0,2.375,1,1.0,84.67788444485998,84.12663444485999
0.0,2.4375,1,1.0,84.67788444485998,84.10257194485999
0.0,2.5,1,1.0,84.67788444485998,84.07788444485999
0.025,0.0,0,0.07050000000000001,76.9056425281533,76.9056425281533
0.025,0.0625,0,0.1419453125,76.9056425281533,76.90533002815329
0.025,0.125,0,0.21253125,76.9056425281533,76.9043925281533
0.025,0.1875,0,0.2822578125,78.29847416935364,78.29566166935363
0.025,0.25,0,0.35112499999999996,78.29847416935364,78.29347416935364
